0; 0.00000000
1; 99523.20242283
2; 56494.54094141
3; 56087.07581363
4; 55828.10991129
5; 55567.12783166
6; 55290.32640545
7; 55001.59965325
8; 54717.68303407
9; 54454.60247015
10; 54207.19119818
11; 53955.35239355
12; 53689.10350424
13; 53406.57797789
14; 53107.62140133
15; 52792.64691346
16; 52462.42829432
17; 52117.96188220
18; 51760.33915543
19; 51390.63127895
20; 51009.78334544
21; 50618.51461458
22; 50217.22670582
23; 49805.92369707
24; 49384.14228167
25; 48950.88248913
26; 48504.52554020
27; 48042.72765791
28; 47562.29499116
29; 47059.10653134
30; 46528.35791423
31; 45965.98484652
32; 45373.25865884
33; 44766.24161449
34; 44180.83600450
35; 43645.99327169
36; 43149.64436860
37; 42669.33189127
38; 42197.96400579
39; 41734.66644410
40; 41279.67725962
41; 40833.48642879
42; 40396.56641159
43; 39969.25566997
44; 39551.74805153
45; 39144.14383087
46; 38746.50601582
47; 38358.89239330
48; 37981.35661824
49; 37613.93233262
50; 37256.61278528
51; 36909.33571427
52; 36571.97531406
53; 36244.34145625
54; 35926.18378266
55; 35617.19921006
56; 35317.04099687
57; 35025.32845775
58; 34741.65640761
59; 34465.60394209
60; 34196.74222783
61; 33934.64121666
62; 33678.87526156
63; 33429.02768307
64; 33184.69438212
65; 32945.48658935
66; 32711.03288843
67; 32480.98061684
68; 32254.99679126
69; 32032.76864917
70; 31814.00392829
71; 31598.43093498
72; 31385.79847572
73; 31175.87565766
74; 30968.45159092
75; 30763.33497068
76; 30560.35355075
77; 30359.35348034
78; 30160.19851211
79; 29962.76906095
80; 29766.96112726
81; 29572.68507808
82; 29379.86430898
83; 29188.43379707
84; 28998.33857921
85; 28809.53218220
86; 28621.97504865
87; 28435.63299587
88; 28250.47575345
89; 28066.47561702
90; 27883.60625561
91; 27701.84170006
92; 27521.15553411
93; 27341.52030002
94; 27162.90712290
95; 26985.28555018
96; 26808.62359598
97; 26632.88797532
98; 26458.04450857
99; 26284.05867326
100; 26110.89627737
101; 25938.52422534
102; 25766.91134539
103; 25596.02924425
104; 25425.85315476
105; 25256.36274297
106; 25087.54284534
107; 24919.38411345
108; 24751.88355144
109; 24585.04493804
110; 24418.87912873
111; 24253.40423317
112; 24088.64566005
113; 23924.63601786
114; 23761.41485940
115; 23599.02826120
116; 23437.52823743
117; 23276.97199913
118; 23117.42108236
119; 22958.94037882
120; 22801.59710921
121; 22645.45978010
122; 22490.59716150
123; 22337.07731463
124; 22184.96669123
125; 22034.32931803
126; 21885.22607368
127; 21737.71406230
128; 21591.84608539
129; 21447.67021252
130; 21305.22944999
131; 21164.56150489
132; 21025.69863997
133; 20888.66761299
134; 20753.48969293
135; 20620.18074504
136; 20488.75137646
137; 20359.20713479
138; 20231.54875141
139; 20105.77242195
140; 19981.87011532
141; 19859.82990303
142; 19739.63630059
143; 19621.27061321
144; 19504.71127925
145; 19389.93420590
146; 19276.91309292
147; 19165.61974154
148; 19056.02434702
149; 18948.09577425
150; 18841.80181682
151; 18737.10944047
152; 18633.98501185
153; 18532.39451348
154; 18432.30374495
155; 18333.67851004
156; 18236.48478843
157; 18140.68889099
158; 18046.25759698
159; 17953.15827253
160; 17861.35896987
161; 17770.82850798
162; 17681.53653546
163; 17593.45357743
164; 17506.55106814
165; 17420.80137141
166; 17336.17779071
167; 17252.65457061
168; 17170.20689121
169; 17088.81085662
170; 17008.44347864
171; 16929.08265645
172; 16850.70715294
173; 16773.29656836
174; 16696.83131169
175; 16621.29257026
176; 16546.66227808
177; 16472.92308321
178; 16400.05831473
179; 16328.05194952
180; 16256.88857935
181; 16186.55337860
182; 16117.03207294
183; 16048.31090914
184; 15980.37662644
185; 15913.21642951
186; 15846.81796308
187; 15781.16928852
188; 15716.25886212
189; 15652.07551517
190; 15588.60843567
191; 15525.84715158
192; 15463.78151535
193; 15402.40168958
194; 15341.69813357
195; 15281.66159059
196; 15222.28307555
197; 15163.55386306
198; 15105.46547554
199; 15048.00967138
200; 14991.17843300
201; 14934.96395470
202; 14879.35863045
203; 14824.35504142
204; 14769.94594340
205; 14716.12425423
206; 14662.88304121
207; 14610.21550868
208; 14558.11498586
209; 14506.57491506
210; 14455.58884048
211; 14405.15039749
212; 14355.25330270
213; 14305.89134480
214; 14257.05837616
215; 14208.74830538
216; 14160.95509054
217; 14113.67273339
218; 14066.89527429
219; 14020.61678784
220; 13974.83137929
221; 13929.53318148
222; 13884.71635247
223; 13840.37507363
224; 13796.50354832
225; 13753.09600100
226; 13710.14667682
227; 13667.64984171
228; 13625.59978283
229; 13583.99080949
230; 13542.81725443
231; 13502.07347550
232; 13461.75385764
233; 13421.85281514
234; 13382.36479422
235; 13343.28427568
236; 13304.60577782
237; 13266.32385935
238; 13228.43312237
239; 13190.92821537
240; 13153.80383608
241; 13117.05473424
242; 13080.67571423
243; 13044.66163748
244; 13009.00742461
245; 12973.70805735
246; 12938.75858015
247; 12904.15410146
248; 12869.88979469
249; 12835.96089884
250; 12802.36271876
251; 12769.09062512
252; 12736.14005402
253; 12703.50650630
254; 12671.18554663
255; 12639.17280234
256; 12607.46396207
257; 12576.05477430
258; 12544.94104586
259; 12514.11864036
260; 12483.58347671
261; 12453.33152776
262; 12423.35881901
263; 12393.66142760
264; 12364.23548139
265; 12335.07715836
266; 12306.18268612
267; 12277.54834171
268; 12249.17045152
269; 12221.04539140
270; 12193.16958693
271; 12165.53951371
272; 12138.15169778
273; 12111.00271607
274; 12084.08919682
275; 12057.40782003
276; 12030.95531783
277; 12004.72847483
278; 11978.72412831
279; 11952.93916847
