0; 9.82000000
10; 9.82000000
20; 7.04000000
30; 8.33000000
40; 9.85000000
50; 10.60000000
60; 11.11000000
70; 12.04000000
80; 12.51000000
90; 13.23000000
100; 13.58000000
110; 13.97000000
120; 14.50000000
130; 14.90000000
140; 15.18000000
150; 15.45000000
160; 15.63000000
170; 15.77000000
180; 15.98000000
190; 16.25000000
200; 16.48000000
210; 16.57000000
220; 16.87000000
230; 17.07000000
240; 17.42000000
250; 17.70000000
260; 17.92000000
270; 18.15000000
280; 18.37000000
290; 18.60000000
300; 18.72000000
310; 18.89000000
320; 19.05000000
330; 19.23000000
340; 19.53000000
350; 19.64000000
360; 19.88000000
370; 20.07000000
380; 20.25000000
